Age,Income,Employment_Status,Loan_Amount,Existing_Debt,Credit_History,Number_of_Loans,Payment_History,Credit_Score_Value,Creditworthy
34,56987,Employed,29586,19904,Fair,1,On-Time,454,0
48,40850,Employed,26478,25880,Good,1,Delayed,377,0
25,37112,Employed,9318,26020,Good,5,On-Time,424,0
67,49058,Self-Employed,31694,19673,Fair,2,On-Time,585,0
50,70420,Employed,23180,24489,Good,1,On-Time,815,1
66,63890,Employed,15180,25019,Fair,6,Defaulted,572,0
25,91017,Employed,36002,22939,Good,4,On-Time,614,1
32,72304,Employed,18372,11913,Good,5,On-Time,477,1
36,57921,Employed,32796,15495,Good,6,On-Time,386,0
46,130921,Self-Employed,27427,24059,Good,3,Delayed,618,1
46,26524,Employed,36290,24013,Poor,3,On-Time,782,1
41,125424,Employed,31099,5521,Poor,4,On-Time,420,1
59,40048,Employed,12821,32964,Fair,2,On-Time,375,0
56,60111,Employed,8832,21619,Good,1,On-Time,651,1
53,62904,Employed,15820,29799,Fair,5,Delayed,712,0
50,79912,Employed,19211,26017,Fair,6,Delayed,700,1
57,59008,Employed,42890,13617,Fair,1,On-Time,411,0
43,25060,Employed,8842,22750,Good,6,Delayed,766,0
30,99666,Employed,4316,19450,Fair,5,On-Time,428,1
25,108559,Employed,20508,17859,Fair,3,On-Time,636,1
56,80337,Employed,25005,24096,Poor,1,Delayed,487,0
54,135616,Self-Employed,18206,26030,Good,4,On-Time,754,1
51,38350,Employed,21971,1762,Fair,2,Delayed,761,1
30,49354,Employed,28599,23115,Fair,4,On-Time,537,0
39,70186,Self-Employed,25056,3827,Good,2,On-Time,541,1
52,53145,Employed,4378,30268,Good,6,On-Time,597,1
21,59020,Self-Employed,4519,29350,Good,1,On-Time,785,1
25,111123,Employed,25161,17348,Good,1,Delayed,349,1
65,131667,Unemployed,43703,15660,Good,2,On-Time,678,1
24,100186,Employed,41861,34498,Fair,3,Delayed,607,0
36,110469,Employed,8355,27730,Fair,5,On-Time,405,1
44,45581,Employed,12083,9576,Fair,4,On-Time,553,1
36,113929,Unemployed,41342,4305,Poor,6,Defaulted,632,0
22,48051,Self-Employed,23456,31585,Good,4,Delayed,684,0
48,76474,Employed,16324,15215,Good,4,On-Time,588,1
52,116748,Employed,5257,6250,Fair,6,Delayed,450,1
47,139618,Unemployed,30364,13732,Good,6,On-Time,670,1
40,94626,Employed,27972,7453,Good,1,On-Time,499,1
44,31960,Self-Employed,29654,32593,Good,4,On-Time,799,1
32,60772,Self-Employed,18233,26000,Good,5,Defaulted,482,0
55,46520,Employed,18887,22918,Fair,5,On-Time,415,0
53,74481,Employed,32320,34814,Good,2,Delayed,829,1
53,61408,Employed,23808,22949,Good,6,On-Time,684,1
63,119006,Employed,33154,17978,Good,1,Delayed,672,1
57,82134,Self-Employed,37773,25838,Fair,5,On-Time,755,1
32,45491,Employed,30747,27399,Good,3,Delayed,402,0
23,26341,Self-Employed,13860,4645,Fair,1,On-Time,544,0
21,69623,Employed,21156,32601,Good,1,Delayed,731,0
53,115327,Unemployed,23360,3275,Good,5,Defaulted,437,0
60,25338,Employed,21135,32147,Good,3,Delayed,801,1
30,96431,Employed,28351,20039,Good,2,On-Time,511,1
63,37254,Employed,33499,27116,Good,5,Defaulted,426,0
64,76860,Self-Employed,26554,14619,Good,3,On-Time,701,1
49,36344,Employed,22604,25659,Poor,1,Delayed,709,0
33,26750,Self-Employed,19923,10795,Good,3,Delayed,563,0
32,79756,Employed,11547,25185,Fair,1,On-Time,787,1
51,92957,Employed,36002,25979,Good,5,On-Time,529,1
66,130423,Employed,17562,34129,Good,6,On-Time,392,1
22,83053,Employed,10480,17533,Good,5,On-Time,628,1
55,95855,Employed,29672,15908,Poor,4,On-Time,505,0
43,40896,Unemployed,7213,17920,Good,4,On-Time,572,1
37,80761,Unemployed,13293,16851,Good,4,On-Time,332,0
46,87552,Unemployed,37441,4631,Good,5,On-Time,618,1
28,102454,Self-Employed,5100,11849,Good,2,On-Time,395,1
49,115600,Employed,31172,12953,Good,5,On-Time,370,1
46,137153,Employed,23132,19314,Fair,6,Delayed,468,1
30,52935,Employed,21199,18763,Good,3,On-Time,441,0
46,62641,Self-Employed,39609,12658,Good,5,Delayed,530,0
54,54711,Employed,11016,16235,Fair,5,On-Time,599,1
61,95342,Employed,42779,16330,Good,1,On-Time,475,1
27,131896,Employed,40261,24426,Good,1,Delayed,557,1
24,37182,Employed,34881,3873,Good,1,On-Time,695,1
65,112833,Self-Employed,20058,10835,Fair,5,On-Time,401,1
31,81276,Self-Employed,27472,24241,Good,2,On-Time,811,1
49,44541,Employed,44346,11192,Good,3,On-Time,675,1
56,119457,Unemployed,37926,34557,Good,3,On-Time,592,1
45,107310,Employed,37832,1947,Fair,6,On-Time,363,1
41,69813,Employed,39021,20083,Good,2,On-Time,442,0
56,62198,Employed,27087,23265,Fair,2,On-Time,668,1
30,33820,Employed,15828,24406,Fair,3,On-Time,649,1
57,49070,Employed,34128,20067,Fair,4,On-Time,728,1
29,94768,Unemployed,4401,14639,Good,1,On-Time,642,1
44,36122,Employed,22643,20020,Good,1,On-Time,430,0
55,105559,Self-Employed,18193,20202,Good,3,Defaulted,408,0
55,98543,Employed,29853,26066,Good,2,On-Time,752,1
56,108441,Employed,23307,8157,Good,6,On-Time,418,1
38,66786,Employed,39982,30634,Fair,4,On-Time,465,0
59,119934,Employed,22611,10845,Good,3,Defaulted,576,0
52,124804,Employed,14950,27913,Good,1,On-Time,508,1
44,31737,Unemployed,13704,5708,Fair,5,Defaulted,559,0
43,61062,Employed,14867,33955,Fair,2,On-Time,822,1
52,79237,Employed,5745,28518,Good,5,On-Time,590,1
57,76571,Employed,6866,8580,Fair,6,Delayed,839,1
32,50510,Employed,35245,22402,Good,3,On-Time,433,0
33,44426,Employed,8818,9986,Fair,1,On-Time,658,1
43,62265,Employed,33116,21658,Fair,4,Delayed,678,0
45,42850,Employed,18493,21019,Fair,5,Defaulted,653,0
55,91150,Employed,31038,31879,Fair,4,On-Time,488,1
61,112312,Employed,23447,28878,Good,6,On-Time,658,1
50,114613,Employed,33431,14531,Good,1,Delayed,580,0
37,99910,Employed,20908,15036,Fair,5,Delayed,518,0
40,77375,Employed,32336,946,Good,6,Delayed,530,1
45,60435,Unemployed,43992,18118,Poor,4,Delayed,606,0
42,121443,Employed,7025,7087,Good,4,On-Time,791,1
33,82132,Employed,23093,31980,Good,5,Defaulted,801,0
39,103945,Employed,9155,33494,Good,1,On-Time,342,1
56,107050,Unemployed,36487,21027,Good,4,On-Time,428,0
32,120402,Employed,23963,24069,Fair,3,On-Time,615,1
61,27983,Employed,23936,11651,Fair,6,On-Time,325,0
39,122241,Self-Employed,7426,6058,Fair,5,On-Time,522,1
32,45662,Employed,26303,33454,Fair,2,Delayed,644,0
29,48510,Employed,30606,28000,Poor,2,On-Time,563,0
27,103187,Employed,31151,2532,Fair,1,On-Time,646,1
48,65998,Employed,16767,1752,Good,3,Delayed,366,1
34,81846,Unemployed,14308,6009,Fair,4,On-Time,332,0
51,119071,Self-Employed,27770,14400,Good,2,On-Time,699,1
39,31640,Employed,31572,15023,Good,1,On-Time,684,1
67,69547,Employed,44448,2381,Fair,6,Defaulted,661,0
36,79620,Employed,5204,33537,Good,3,On-Time,540,1
25,40317,Employed,30233,2130,Good,3,On-Time,392,0
55,32564,Self-Employed,24729,21289,Good,1,On-Time,365,0
32,52345,Employed,34131,23023,Good,1,On-Time,823,1
45,138824,Employed,36870,18458,Poor,4,On-Time,593,1
41,119223,Self-Employed,41011,2195,Good,1,On-Time,527,1
56,104273,Employed,42382,15321,Good,4,On-Time,443,1
43,99859,Employed,44475,3762,Good,4,Defaulted,329,0
36,105765,Employed,24607,1945,Good,5,On-Time,648,1
59,135017,Unemployed,27968,16936,Poor,3,On-Time,506,0
65,99038,Employed,36398,10449,Good,6,On-Time,379,1
62,77393,Employed,14908,24463,Good,3,On-Time,761,1
59,91081,Employed,29423,30432,Fair,3,Delayed,536,0
34,127650,Employed,12171,7401,Poor,5,On-Time,321,1
51,54430,Self-Employed,15721,33987,Fair,4,On-Time,675,1
25,100532,Self-Employed,19616,9097,Fair,4,Delayed,484,0
55,52788,Employed,41458,7355,Good,1,On-Time,410,0
43,120505,Employed,10659,19178,Good,5,On-Time,486,1
49,73543,Employed,14704,8763,Good,1,On-Time,526,1
63,38919,Employed,35793,26305,Poor,5,On-Time,601,0
31,94346,Employed,34226,26643,Good,1,On-Time,384,1
38,121122,Self-Employed,26852,12374,Good,2,On-Time,835,1
67,64974,Employed,35082,28029,Good,3,On-Time,476,1
32,132309,Employed,25794,21366,Good,3,Delayed,625,1
29,41371,Employed,44420,14579,Good,6,On-Time,714,1
30,70084,Self-Employed,16379,7743,Poor,4,On-Time,393,1
64,54629,Self-Employed,10006,30372,Good,6,On-Time,506,0
37,76184,Self-Employed,11682,9518,Fair,2,On-Time,656,1
58,86916,Employed,36840,12600,Fair,6,On-Time,559,1
27,98972,Employed,35430,20300,Good,3,Defaulted,460,0
66,87187,Self-Employed,26091,27410,Good,4,Delayed,584,1
33,37984,Employed,35983,29937,Good,2,Defaulted,458,0
60,58039,Employed,26989,11501,Good,3,Delayed,778,1
62,110431,Self-Employed,12915,20442,Fair,1,On-Time,389,1
29,108691,Self-Employed,21990,21362,Good,5,On-Time,704,1
47,83606,Employed,27734,12169,Good,2,On-Time,517,1
22,35616,Employed,17824,16416,Good,4,On-Time,524,1
25,127665,Employed,39081,11378,Poor,6,Defaulted,750,0
49,130373,Employed,14033,3485,Fair,6,On-Time,644,1
57,75072,Employed,19241,32869,Fair,2,Delayed,761,1
58,49574,Self-Employed,8939,8612,Fair,4,On-Time,607,1
39,28430,Self-Employed,38063,19431,Good,2,Delayed,545,0
28,37676,Self-Employed,37464,27840,Fair,4,Defaulted,383,0
65,35816,Employed,14185,836,Good,6,Delayed,817,1
21,57733,Self-Employed,30045,19863,Fair,3,Delayed,379,0
42,110680,Self-Employed,22167,4468,Fair,1,On-Time,716,1
37,27050,Employed,39412,34178,Good,3,Delayed,576,0
27,134996,Self-Employed,24625,16779,Fair,1,Defaulted,558,0
45,58933,Self-Employed,42188,3629,Poor,6,Delayed,357,0
65,49951,Employed,30076,6350,Good,3,On-Time,344,0
24,57413,Employed,22029,21088,Fair,3,On-Time,729,1
56,59801,Employed,25973,12449,Good,2,Delayed,780,1
26,80619,Employed,42121,9019,Fair,5,On-Time,736,1
51,57913,Employed,34433,26875,Good,6,Delayed,676,0
39,137573,Self-Employed,4932,33582,Good,4,On-Time,702,1
64,65600,Employed,4757,12237,Poor,6,On-Time,477,1
59,82775,Employed,33722,1634,Poor,4,On-Time,752,1
47,115816,Employed,40853,11438,Fair,4,On-Time,367,0
30,115093,Employed,41405,24986,Good,1,On-Time,647,1
46,137590,Employed,4116,26596,Poor,4,On-Time,752,1
39,60400,Employed,14691,6092,Good,4,On-Time,750,1
59,29494,Employed,3492,18608,Poor,2,On-Time,375,0
23,105688,Employed,30882,17770,Good,3,On-Time,587,1
65,114431,Employed,11811,28149,Good,6,Delayed,388,1
33,99691,Employed,30808,11497,Fair,6,Defaulted,768,0
48,122419,Self-Employed,27272,33989,Good,4,Delayed,576,1
40,133730,Employed,31399,9604,Good,5,Defaulted,809,1
48,68001,Self-Employed,9474,1370,Good,6,Delayed,368,0
28,92364,Employed,29956,29184,Good,4,On-Time,635,1
61,70028,Employed,16979,31457,Good,1,Delayed,732,1
59,132434,Self-Employed,31328,34385,Good,1,Delayed,753,1
21,122659,Employed,15867,30366,Good,1,On-Time,321,1
23,62573,Employed,28851,31176,Good,4,On-Time,464,0
33,25806,Employed,34279,14378,Fair,2,Delayed,685,0
48,81638,Employed,33527,28059,Good,5,On-Time,739,1
45,131506,Employed,10866,7271,Poor,4,On-Time,763,1
53,54757,Employed,18449,17026,Poor,2,On-Time,753,1
58,59636,Employed,13685,30396,Good,2,On-Time,376,0
26,105097,Employed,26544,32423,Fair,6,On-Time,497,1
64,73280,Employed,8451,13352,Fair,4,On-Time,612,1
65,49262,Self-Employed,24642,2348,Poor,4,On-Time,365,0
52,105435,Unemployed,44316,31527,Fair,2,On-Time,489,0
65,87211,Employed,42954,34985,Good,2,Delayed,590,0
67,79842,Self-Employed,41870,19956,Fair,2,Delayed,736,0
41,81979,Employed,34030,9759,Fair,6,On-Time,458,1
36,139524,Employed,33873,13909,Fair,4,Delayed,566,1
41,106470,Employed,3619,4291,Good,2,On-Time,467,1
31,63197,Self-Employed,36650,26364,Poor,1,On-Time,549,0
57,66844,Employed,28372,18388,Poor,4,On-Time,693,1
56,89754,Employed,6642,20192,Good,6,On-Time,399,1
55,126868,Employed,31001,24001,Good,1,On-Time,384,1
39,59157,Self-Employed,37064,13804,Good,3,On-Time,407,0
40,102129,Self-Employed,32290,28027,Fair,4,Delayed,407,0
38,65042,Self-Employed,17122,18574,Fair,3,Delayed,523,0
67,86665,Employed,27820,16049,Fair,2,On-Time,701,1
61,107856,Employed,5895,30463,Good,6,On-Time,795,1
34,52376,Employed,8366,26420,Fair,2,On-Time,533,1
35,134049,Employed,11711,31326,Good,6,On-Time,393,1
51,80554,Employed,22596,16561,Good,5,Delayed,380,0
21,39199,Employed,21793,29310,Fair,2,On-Time,538,0
23,106412,Unemployed,11199,23300,Poor,3,Delayed,331,0
36,75948,Self-Employed,13717,10440,Poor,6,Delayed,734,0
43,98781,Self-Employed,39191,4424,Poor,2,On-Time,351,0
31,97750,Unemployed,13211,28554,Good,4,Defaulted,479,0
32,91262,Employed,26360,10283,Good,6,On-Time,556,1
30,71600,Employed,24542,13733,Fair,6,On-Time,500,1
52,101898,Unemployed,34312,24984,Poor,2,On-Time,660,0
36,87483,Employed,39435,25568,Good,5,On-Time,777,1
28,43297,Self-Employed,31247,691,Good,2,On-Time,399,0
58,55448,Employed,25357,25574,Good,3,On-Time,792,1
32,51172,Employed,44045,5417,Fair,3,Delayed,431,0
44,67874,Employed,30691,26332,Good,6,Defaulted,611,0
48,32657,Unemployed,15424,21206,Good,6,Delayed,702,0
28,109386,Self-Employed,21852,14182,Good,2,On-Time,336,1
48,50425,Employed,25601,27262,Good,3,Delayed,812,0
56,51685,Self-Employed,21020,23883,Poor,3,On-Time,650,0
46,137855,Employed,11155,28296,Good,5,Delayed,805,1
28,49578,Employed,6583,24166,Fair,4,Delayed,725,1
48,53831,Employed,18515,26162,Fair,5,Delayed,436,0
48,32906,Employed,39777,10734,Poor,1,On-Time,434,0
57,86413,Employed,22710,9721,Good,5,Delayed,655,1
61,79028,Unemployed,27532,11910,Poor,2,On-Time,655,0
56,32287,Self-Employed,21601,15019,Fair,4,Defaulted,466,0
47,58660,Employed,7967,1551,Poor,2,On-Time,441,1
37,100758,Employed,21753,10265,Poor,1,On-Time,400,1
29,85504,Self-Employed,23022,11882,Good,4,On-Time,694,1
53,84720,Self-Employed,12135,13080,Good,6,Delayed,382,0
40,127979,Self-Employed,8722,32823,Good,3,On-Time,823,1
33,59701,Employed,30413,12439,Good,5,On-Time,768,1
48,108300,Employed,30236,30464,Good,2,Defaulted,747,1
49,135177,Employed,18514,807,Good,1,Defaulted,746,1
33,42674,Employed,40212,3859,Good,3,On-Time,740,1
66,108560,Employed,43386,30148,Good,5,On-Time,641,1
55,136543,Unemployed,23331,34519,Good,3,Delayed,485,0
26,48874,Employed,21060,27823,Good,5,Defaulted,780,0
38,68642,Employed,4196,6726,Good,6,On-Time,778,1
25,122820,Employed,15297,22189,Good,4,On-Time,508,1
67,90160,Employed,5787,31471,Good,3,On-Time,783,1
45,42602,Employed,26816,26454,Good,3,Delayed,698,0
22,128320,Employed,43695,24923,Poor,3,On-Time,321,0
30,113801,Employed,22702,30891,Good,4,On-Time,683,1
50,50931,Self-Employed,28242,14830,Good,1,On-Time,391,0
65,119377,Unemployed,5176,5391,Good,5,Defaulted,746,0
25,54192,Employed,23127,5492,Fair,6,On-Time,489,1
53,71542,Employed,44560,2461,Poor,3,On-Time,524,1
21,67520,Self-Employed,30228,12997,Poor,4,On-Time,656,1
38,89772,Employed,23208,33051,Fair,1,Delayed,791,1
52,83762,Employed,31482,11348,Good,5,On-Time,514,1
67,75106,Self-Employed,12171,13755,Good,4,Delayed,594,1
31,106121,Employed,38219,5067,Good,6,On-Time,326,1
41,50559,Employed,36396,20889,Poor,6,Defaulted,497,0
46,130595,Employed,43546,17067,Fair,5,On-Time,561,1
45,58742,Employed,6696,3858,Fair,3,On-Time,522,1
42,94669,Employed,23058,23499,Good,6,On-Time,781,1
47,105199,Self-Employed,23313,11488,Fair,1,Delayed,399,0
33,46754,Employed,22149,32021,Good,4,On-Time,736,1
53,28972,Employed,44075,6198,Good,1,Delayed,703,0
54,95831,Self-Employed,7956,1773,Good,3,Delayed,710,1
61,137217,Employed,13195,28043,Fair,1,On-Time,445,1
55,66873,Employed,20076,31849,Good,1,Defaulted,813,0
21,119661,Self-Employed,4105,11741,Poor,2,On-Time,366,0
41,131532,Employed,18417,9997,Good,1,Delayed,795,1
26,34903,Self-Employed,27729,33203,Fair,5,On-Time,783,1
48,28020,Self-Employed,33099,32454,Good,4,On-Time,442,0
37,66755,Employed,35598,8502,Good,2,Delayed,793,1
25,110956,Employed,32961,4747,Fair,4,On-Time,453,1
51,111988,Unemployed,15602,22198,Fair,4,On-Time,342,0
25,70648,Employed,12256,20238,Fair,3,On-Time,554,1
58,128537,Self-Employed,23584,11203,Poor,3,On-Time,378,1
23,34516,Employed,37681,18070,Fair,2,Delayed,483,0
43,137863,Employed,28792,12892,Good,6,On-Time,535,1
57,27396,Employed,24904,32799,Fair,3,Defaulted,502,0
57,109082,Unemployed,37540,16141,Good,3,On-Time,409,0
30,44129,Unemployed,29536,14498,Good,3,On-Time,630,0
30,26591,Employed,22164,6805,Good,4,Delayed,576,0
39,36303,Employed,15996,33226,Fair,2,On-Time,371,0
37,55561,Self-Employed,5871,19282,Fair,4,Defaulted,657,0
41,96719,Employed,25626,13221,Good,5,Delayed,490,1
34,117108,Employed,13521,12927,Fair,4,On-Time,386,1
29,124616,Employed,4132,21066,Poor,5,On-Time,619,1
66,111231,Employed,36467,2730,Good,1,On-Time,551,1
21,32314,Unemployed,17534,7011,Good,1,On-Time,387,0
65,44623,Employed,26854,26677,Fair,5,Delayed,825,0
33,92675,Employed,42065,5265,Good,5,On-Time,347,1
24,137992,Employed,10812,20854,Fair,4,On-Time,370,1
21,121826,Self-Employed,7557,24429,Good,5,On-Time,579,1
60,90082,Employed,5179,29320,Good,2,On-Time,503,1
52,108624,Employed,12065,30023,Fair,1,On-Time,342,1
54,130228,Employed,11275,6052,Fair,1,Delayed,448,0
48,58130,Self-Employed,38948,1127,Fair,6,Delayed,610,0
51,76756,Employed,23700,12489,Poor,5,Delayed,820,1
28,122624,Employed,42464,14280,Fair,3,Delayed,505,0
59,51292,Employed,30794,7089,Fair,3,On-Time,798,1
46,136785,Employed,31783,28628,Good,5,Delayed,811,1
54,111206,Employed,19998,28290,Good,2,On-Time,832,1
23,94274,Self-Employed,16869,749,Good,3,On-Time,386,1
32,27469,Employed,31152,19809,Fair,6,On-Time,786,1
21,78947,Self-Employed,23954,26401,Good,5,On-Time,604,1
64,47534,Employed,34555,24076,Fair,2,Delayed,736,0
25,88620,Self-Employed,19654,32008,Good,2,On-Time,419,1
50,73874,Employed,38236,9675,Fair,4,Delayed,508,0
50,74708,Employed,18042,25964,Poor,2,On-Time,707,1
37,99553,Unemployed,28966,16760,Good,3,On-Time,560,1
67,93344,Self-Employed,17270,30046,Poor,3,Delayed,736,0
43,74138,Employed,33908,2487,Good,5,On-Time,495,1
35,79302,Employed,18523,25605,Good,5,On-Time,706,1
57,72638,Self-Employed,22991,13448,Poor,2,On-Time,790,1
41,103249,Employed,13775,13526,Good,6,On-Time,552,1
34,130865,Self-Employed,15265,3273,Poor,1,Delayed,771,0
22,27719,Self-Employed,22459,10378,Good,4,On-Time,596,1
31,47890,Employed,19673,10877,Good,1,Defaulted,548,0
59,102236,Employed,30056,7847,Poor,2,Delayed,490,0
58,61509,Employed,9614,34276,Good,2,Delayed,532,0
54,67534,Employed,39020,4283,Poor,1,Delayed,601,0
58,127302,Employed,10415,4798,Poor,4,On-Time,360,0
54,117241,Unemployed,26155,5168,Good,1,Delayed,441,0
38,43787,Employed,19964,21171,Good,5,On-Time,546,1
50,73845,Self-Employed,40726,34984,Good,3,On-Time,613,1
35,82932,Employed,40044,33578,Good,6,Defaulted,586,0
47,117124,Employed,40544,21422,Good,5,On-Time,770,1
54,116659,Employed,35252,34528,Good,3,On-Time,768,1
58,58062,Employed,6832,20816,Good,6,On-Time,380,1
53,100713,Employed,28275,11960,Good,6,On-Time,821,1
44,112263,Employed,17901,17468,Poor,6,On-Time,466,1
35,120756,Self-Employed,41213,30766,Fair,2,On-Time,653,1
50,85461,Employed,37148,30709,Fair,6,On-Time,461,0
62,100418,Employed,25918,24500,Good,4,On-Time,363,1
37,91672,Employed,22540,14511,Fair,1,On-Time,463,1
25,59832,Employed,14580,3366,Good,4,On-Time,652,1
49,56966,Employed,41402,6398,Fair,1,Delayed,816,0
24,97545,Employed,41578,18895,Poor,5,On-Time,715,1
30,37987,Employed,27917,4506,Good,5,Delayed,374,0
37,62311,Employed,25318,34893,Fair,1,Defaulted,626,0
30,56575,Employed,13179,11456,Fair,4,Delayed,742,1
37,88852,Self-Employed,15251,31163,Poor,1,Delayed,736,0
40,26007,Employed,22493,6578,Fair,6,Defaulted,644,0
44,95981,Employed,23466,30131,Good,2,On-Time,399,1
25,101242,Employed,33206,30640,Good,5,Delayed,350,0
54,72517,Employed,22624,4461,Good,2,Delayed,431,1
26,135022,Self-Employed,29564,29777,Fair,6,On-Time,791,1
22,54257,Employed,25412,31917,Good,6,On-Time,393,0
33,112272,Employed,30990,22984,Poor,5,Defaulted,798,0
63,67207,Employed,38517,18603,Good,5,Delayed,706,0
63,38281,Employed,16156,29845,Good,6,On-Time,752,1
31,86246,Employed,26064,2087,Good,3,On-Time,731,1
67,26435,Employed,28711,21531,Fair,2,Delayed,786,0
43,123875,Self-Employed,33106,26712,Good,2,On-Time,567,1
36,125686,Employed,19589,10850,Good,3,On-Time,439,1
51,116357,Employed,26736,19316,Good,4,Delayed,386,1
31,51660,Employed,23975,20788,Good,2,On-Time,646,1
36,30084,Employed,39218,29932,Good,1,On-Time,789,1
28,107197,Employed,10214,7337,Fair,6,Delayed,812,1
24,38507,Self-Employed,33581,34717,Good,6,Delayed,605,0
60,97595,Self-Employed,23195,21384,Good,3,On-Time,631,1
24,108807,Employed,30127,5954,Fair,2,On-Time,628,1
45,70539,Self-Employed,8141,9924,Poor,4,On-Time,416,0
23,32491,Unemployed,31884,18912,Fair,2,Defaulted,432,0
52,137831,Self-Employed,27885,20642,Good,6,On-Time,775,1
23,75192,Employed,5708,9348,Poor,5,On-Time,782,1
47,105395,Self-Employed,21375,13636,Poor,1,On-Time,451,1
49,88888,Employed,18088,1089,Fair,3,Delayed,440,0
52,98609,Unemployed,13014,21408,Good,5,On-Time,516,1
39,34077,Employed,6273,7009,Fair,4,On-Time,801,1
41,45953,Employed,40306,10468,Fair,5,On-Time,358,0
25,101919,Self-Employed,33881,2962,Good,5,Delayed,831,1
38,139682,Employed,34486,9960,Good,4,On-Time,793,1
48,92889,Unemployed,15541,34283,Fair,5,On-Time,480,0
62,48821,Unemployed,11712,9775,Fair,3,On-Time,608,1
42,62567,Employed,12168,29177,Good,6,Delayed,519,1
41,49860,Employed,6551,13769,Fair,2,On-Time,822,1
26,46195,Employed,15297,906,Good,5,On-Time,567,1
21,102475,Employed,30128,7884,Good,3,On-Time,702,1
25,115874,Employed,5832,23053,Fair,2,Defaulted,537,0
61,112266,Self-Employed,31483,24866,Good,2,On-Time,406,1
32,46427,Employed,25063,17869,Good,5,Defaulted,401,0
46,125732,Employed,25963,12295,Poor,3,Delayed,381,0
66,52083,Unemployed,16422,4985,Good,6,On-Time,819,1
54,112046,Employed,35920,3118,Good,5,Delayed,361,0
34,82372,Employed,14156,30643,Poor,4,On-Time,331,0
46,69064,Self-Employed,14108,29925,Fair,2,On-Time,434,0
65,32813,Employed,34845,23173,Fair,5,On-Time,537,0
47,56598,Self-Employed,5800,10103,Poor,2,On-Time,425,1
29,137718,Unemployed,41078,5868,Good,3,Defaulted,791,0
46,118106,Self-Employed,5610,5121,Fair,1,On-Time,706,1
67,52082,Employed,15067,15219,Good,5,Delayed,545,1
42,54241,Employed,36872,29727,Fair,6,On-Time,800,1
67,121214,Employed,13728,8066,Good,5,On-Time,727,1
50,69569,Self-Employed,32566,12806,Fair,2,Delayed,776,1
63,36745,Self-Employed,32783,24542,Good,3,On-Time,340,0
37,51029,Employed,23583,15586,Good,4,Delayed,522,0
46,38025,Employed,23238,17887,Fair,6,On-Time,736,1
56,126660,Employed,10263,27542,Fair,3,On-Time,735,1
21,39288,Employed,4914,24388,Fair,5,Delayed,767,0
28,114186,Self-Employed,26749,27014,Good,4,On-Time,831,1
55,31540,Employed,22456,18823,Good,3,On-Time,404,0
35,122768,Self-Employed,28582,18519,Fair,1,Defaulted,486,0
67,106958,Self-Employed,3406,10390,Fair,6,Delayed,703,1
42,93878,Employed,16689,10783,Fair,2,Defaulted,787,1
34,66846,Employed,35934,18779,Poor,3,Delayed,391,0
46,126148,Employed,36276,23408,Fair,3,Delayed,792,1
48,100932,Employed,39432,9843,Fair,1,On-Time,577,1
43,42482,Self-Employed,22873,11137,Fair,5,On-Time,594,0
34,48411,Self-Employed,16050,29634,Poor,6,Delayed,339,0
44,75975,Self-Employed,3680,4407,Fair,6,On-Time,809,1
22,85545,Employed,21908,34075,Fair,2,On-Time,809,1
65,137302,Employed,21504,5327,Fair,3,On-Time,645,1
46,103797,Self-Employed,24644,31107,Fair,4,On-Time,408,1
34,77307,Employed,40125,14199,Good,3,Defaulted,805,0
27,28093,Employed,4363,26383,Good,2,Delayed,669,0
23,102258,Employed,38060,5813,Poor,3,On-Time,403,0
67,47042,Employed,4538,14098,Fair,1,On-Time,706,1
43,77930,Employed,39176,29307,Fair,3,Delayed,406,0
66,69413,Employed,44520,5387,Poor,3,On-Time,626,0
63,138387,Unemployed,28675,4354,Fair,4,Defaulted,473,0
67,118623,Employed,21287,15036,Good,1,On-Time,759,1
65,122883,Employed,3174,4058,Fair,1,On-Time,583,1
38,58756,Employed,29732,10272,Fair,3,On-Time,740,1
58,78268,Self-Employed,37998,34269,Good,6,Defaulted,812,0
55,64214,Employed,40055,19729,Good,4,Delayed,730,0
35,106871,Employed,15112,10173,Good,3,Delayed,492,1
45,53602,Employed,42874,28377,Good,3,On-Time,323,0
57,78331,Self-Employed,12689,32101,Good,2,Delayed,791,1
48,73901,Employed,22555,16744,Good,2,Delayed,429,0
30,124986,Self-Employed,36919,27856,Good,6,On-Time,356,1
59,88416,Self-Employed,10619,17306,Good,4,On-Time,350,1
37,57196,Employed,9033,23599,Good,5,On-Time,700,1
59,30626,Self-Employed,44328,19594,Fair,2,On-Time,587,0
42,32424,Employed,7946,11089,Poor,5,On-Time,330,0
46,37857,Self-Employed,27618,2157,Fair,1,On-Time,663,1
64,135459,Employed,37675,33264,Good,2,On-Time,485,1
45,44982,Self-Employed,39258,3664,Good,2,On-Time,661,1
37,101961,Employed,21919,28042,Good,4,On-Time,801,1
33,26980,Employed,7173,18937,Good,6,Delayed,338,0
40,73290,Employed,29400,20101,Good,5,On-Time,503,1
45,51431,Employed,7769,28930,Good,2,On-Time,329,0
24,109976,Employed,40564,6509,Good,2,On-Time,511,1
30,132288,Employed,17211,5052,Fair,4,Delayed,639,1
23,107711,Employed,26255,9917,Good,4,On-Time,794,1
61,139187,Employed,30962,3171,Good,6,Delayed,746,1
65,51385,Self-Employed,22356,7019,Fair,5,On-Time,378,1
